1	房 地 产 企 业 预 缴 营 业 税 营 改 增 后 发 票 怎 么 开	1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0	房 地 产 企 业 营 改 增 前 在 地 税 预 缴 税 款 但 未 开 具 发 票 怎 么 办	1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0
0	黑 茶 传 销 骗 的 我 好 惨	1 1 0 0 0 0 0 0 0	湖 南 黑 茶 价 格 在 网 上 哪 里 买 会 比 较 实 惠	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1	我 是 学 护 理 的 , 想 报 考 营 养 师 和 养 老 护 理 员 , 大 家 决 得 哪 个 好 点 ?	0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	你 好 , 我 是 学 护 理 专 业 的 想 报 营 养 师 怎 么 考	1 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0
1	打 开 网 页 总 显 示 internet ##ex ##pl ##ore ##r 无 法 显 示 该 网 页	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	为 什 么 我 打 开 个 别 网 页 时 , 总 是 打 不 开 , 提 示 “ internet . . .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0	九 龙 坡 区 白 市 驿 至 二 廊 公 交	1 1 1 1 1 1 0 0 1 1 0 0	快 速 公 交 2 号 线 支 线	0 0 1 1 0 0 0 0 0
1	南 京 江 宁 社 会 保 险	1 1 1 1 0 0 0 0	现 在 南 京 社 保 和 江 宁 社 保 有 什 么 不 同	0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0
0	《 功 夫 》 里 卖 棒 棒 糖 的 女 主 角 是 谁	0 1 1 0 0 0 1 1 1 0 1 1 1 0 0	功 夫 之 王 里 的 白 发 魔 女 是 谁 扮 演 的	1 1 1 1 0 0 1 1 1 1 0 0 0 0 0
1	和 男 朋 友 做 爱 怎 么 做 啊 谁 有 经 历 该 穿 什 么 脱 衣 服 的 话 是 他 给 我 脱 吗 乳 罩 还 要 脱 吗 他 亲 我 的 胸 怎 么 办	0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	为 什 么 男 朋 友 和 我 做 爱 一 定 要 脱 掉 所 有 衣 服 呢	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0
0	哪 对 夫 妻 俩 都 是 副 国 级 领 导	0 0 1 1 1 0 0 0 1 1 0 0	求 一 兼 职 代 理 协 议 书	0 0 0 0 1 1 0 0 0
0	现 钞 转 成 现 汇 的 手 续 费 怎 么 算	0 0 0 0 1 1 0 1 1 1 0 0 0	关 于 现 汇 买 入 价 , 现 钞 买 入 价 , 卖 出 价 , 基 准 价 的 困 惑	0 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0
